Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
Mark Andrews,TE,3,1.52,4.56,5,0,1.67,1.0,,,100.0,BAL,16,12,3,0.3,3.0,0.0,0.0,3.0
Demario Douglas,WR,3,0.25,0.75,16,0,5.33,3.0,,,,NWE,16,7,0,1.0,9.0,0.0,0.0,0.0
Jordan Addison,WR,3,0.91,2.73,20,1,6.67,3.67,,,33.3,MIN,14,14,1,1.4,11.01,0.0,0.0,1.0
Jalen Nailor,WR,3,-1.02,-3.06,-4,0,-1.33,2.0,33.3,,33.3,MIN,16,7,1,-0.3,6.0,1.0,0.0,1.0
Jaylen Waddle,WR,3,-0.28,-0.84,6,0,2.0,0.67,33.3,,,MIA,14,14,0,0.4,2.01,1.0,0.0,0.0
Jalen Reagor,WR,3,-0.78,-2.34,-3,0,-1.0,1.0,66.7,,,LAC,8,2,0,-0.4,3.0,2.0,0.0,0.0
Rome Odunze,WR,3,0.19,0.57,15,0,5.0,5.67,,,33.3,CHI,16,11,1,0.9,17.01,0.0,0.0,1.0
Quentin Johnston,WR,3,-0.27,-0.81,6,0,2.0,2.67,,,,LAC,14,10,0,0.4,8.01,0.0,0.0,0.0
Ricky Pearsall,WR,3,0.98,2.94,45,0,15.0,0.33,,33.3,33.3,SFO,10,3,1,4.5,0.99,0.0,1.0,1.0
Stefon Diggs,WR,3,0.21,0.63,8,1,2.67,1.0,33.3,,33.3,HOU,8,8,1,1.0,3.0,1.0,0.0,1.0
Wan'Dale Robinson,WR,3,-0.89,-2.67,18,0,6.0,6.67,,33.3,33.3,NYG,16,7,1,1.1,20.01,0.0,1.0,1.0
Jalen McMillan,WR,3,1.15,3.45,37,0,12.33,3.67,,66.7,66.7,TAM,12,11,3,3.1,11.01,0.0,2.0,2.0
Ja'Marr Chase,WR,3,0.67,2.01,32,0,10.67,2.33,,66.7,66.7,CIN,16,15,2,2.0,6.99,0.0,2.0,2.0
Tyreik McAllister,RB,2,-0.01,-0.02,11,0,5.5,3.0,,,50.0,LVR,3,0,1,3.7,6.0,0.0,0.0,1.0
Ke'Shawn Vaughn,RB,2,-0.32,-0.64,4,0,2.0,1.0,,,,SFO,3,0,0,1.3,2.0,0.0,0.0,0.0
Jonnu Smith,TE,2,-0.82,-1.64,-1,0,-0.5,3.0,50.0,,,MIA,16,5,0,-0.1,6.0,1.0,0.0,0.0
Tutu Atwell,WR,2,-0.43,-0.86,7,0,3.5,1.0,,,,LAR,16,4,0,0.4,2.0,0.0,0.0,0.0
Jonathan Mingo,WR,2,-2.66,-5.32,5,0,2.5,0.5,,,,2TM,16,6,0,0.3,1.0,0.0,0.0,0.0
Jonathan Mingo,WR,2,-2.66,-5.32,5,0,2.5,0.5,,,,CAR,9,5,0,0.6,1.0,0.0,0.0,0.0
Jonathan Mingo,WR,2,-2.66,-5.32,5,0,2.5,0.5,,,,DAL,7,1,0,0.0,1.0,0.0,0.0,0.0
Treylon Burks,WR,2,-0.47,-0.94,1,0,0.5,5.5,50.0,,,TEN,5,2,0,0.2,11.0,1.0,0.0,0.0
Khalil Shakir,WR,2,-0.49,-0.98,4,0,2.0,0.5,,,,BUF,15,9,0,0.3,1.0,0.0,0.0,0.0
