Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Julius Chestnut,RB,20,-0.24,-4.71,91,0,4.55,2.45,10%,5%,5%,TEN,16,0,1,5.7
Will Shipley,RB,20,-0.25,-4.98,50,0,2.5,2.7,5%,0%,5%,PHI,15,1,1,3.3
Xavier Worthy,WR,20,0.15,2.96,104,3,5.2,2.55,5%,10%,20%,KAN,16,13,4,6.5
Samaje Perine,RB,19,-0.01,-0.22,91,1,4.79,1.95,0%,10.50%,36.80%,KAN,16,0,7,5.7
Michael Carter,RB,18,0.05,0.86,88,0,4.89,0.83,0%,0%,5.60%,ARI,2,0,6,44.0
Jordan Mims,RB,18,-0.27,-4.81,58,0,3.22,2.06,11.10%,0%,5.60%,NOR,10,0,1,5.8
Jayden Reed,WR,17,0.38,6.5,160,1,9.41,3.47,5.90%,41.20%,41.20%,GNB,16,10,7,10.0
Khalil Herbert,RB,16,0.23,3.62,61,1,3.81,1.5,0%,6.30%,25%,2TM,13,0,5,4.7
Khalil Herbert,RB,16,0.23,3.62,61,1,3.81,1.5,0%,6.30%,25%,CHI,6,0,3,2.7
Khalil Herbert,RB,16,0.23,3.62,61,1,3.81,1.5,0%,6.30%,25%,CIN,7,0,2,6.4
CeeDee Lamb,WR,14,-0.27,-3.84,70,0,5.0,2.29,21.40%,21.40%,28.60%,DAL,15,15,4,4.7
Eric Gray,RB,13,-1.25,-16.22,25,0,1.92,1.54,7.70%,0%,7.70%,NYG,16,0,1,1.6
Marvin Mims,RB,13,-0.13,-1.73,42,0,3.23,2.46,23.10%,15.40%,23.10%,DEN,16,2,3,2.6
Jase McClellan,RB,13,-0.55,-7.1,32,0,2.46,2.31,15.40%,0%,15.40%,ATL,2,0,2,16.0
D.J. Moore,WR,13,0.13,1.66,70,0,5.38,1.77,15.40%,15.40%,23.10%,CHI,16,16,3,4.4
Tyler Badie,RB,11,0.18,2.0,86,0,7.82,5.36,9.10%,18.20%,36.40%,DEN,3,0,4,28.7
Raheem Blackshear,RB,11,0.0,-0.05,33,0,3.0,0.64,0%,0%,0%,CAR,15,1,0,2.2
Deuce Vaughn,RB,11,-0.51,-5.58,33,0,3.0,1.82,0%,0%,0%,DAL,6,0,0,5.5
Keaton Mitchell,RB,11,-0.38,-4.18,20,0,1.82,1.36,27.30%,0%,18.20%,BAL,4,0,2,5.0
Jameson Williams,WR,11,0.16,1.71,61,1,5.55,2.45,9.10%,36.40%,36.40%,DET,14,10,5,4.4
Derius Davis,WR,11,-0.22,-2.37,40,0,3.64,1.73,9.10%,0%,18.20%,LAC,14,2,2,2.9
Puka Nacua,WR,11,0.2,2.15,46,1,4.18,2.45,18.20%,0%,18.20%,LAR,11,11,2,4.2
Rasheen Ali,RB,10,-0.12,-1.16,31,0,3.1,2.9,10%,0%,20%,BAL,5,0,2,6.2
J.J. Taylor,RB,10,0.0,-0.03,44,0,4.4,3.1,0%,0%,10%,HOU,5,0,1,8.8
Ronnie Rivers,RB,10,0.48,4.78,51,0,5.1,2.8,20%,20%,50%,LAR,16,0,5,3.2
Ray-Ray McCloud,WR,10,0.09,0.92,79,0,7.9,2.9,10%,20%,20%,ATL,16,12,3,4.9
Alec Ingold,FB,10,-1.02,-10.24,17,1,1.7,1.8,20%,0%,60%,MIA,14,9,6,1.2
Mike Boone,RB,9,-0.27,-2.42,33,0,3.67,1.11,0%,0%,11.10%,CAR,5,0,2,6.6
Jonathon Brooks,RB,9,-0.31,-2.78,22,0,2.44,2.22,11.10%,0%,0%,CAR,3,1,0,7.3
Tre Tucker,WR,9,0.31,2.79,44,1,4.89,1.11,11.10%,22.20%,33.30%,LVR,16,14,3,2.8
Tank Dell,WR,9,-0.25,-2.26,43,0,4.78,3.44,33.30%,33.30%,33.30%,HOU,14,10,3,3.1
Hunter Luepke,FB,9,-0.18,-1.62,23,0,2.56,2.33,0%,0%,44.40%,DAL,15,3,4,1.5
Dalvin Cook,RB,8,-0.33,-2.66,20,0,2.5,1.63,0%,0%,0%,DAL,2,0,0,10.0
DeeJay Dallas,RB,8,-0.35,-2.79,27,0,3.38,2.0,0%,0%,37.50%,ARI,16,0,3,1.7
Zay Flowers,WR,8,0.15,1.22,47,0,5.88,3.13,12.50%,12.50%,12.50%,BAL,16,14,1,2.9
Tyreek Hill,WR,8,-0.15,-1.24,53,0,6.63,1.13,0%,25%,25%,MIA,16,16,2,3.3
Sterling Shepard,WR,8,0.34,2.7,69,0,8.63,3.0,12.50%,37.50%,50%,TAM,13,4,4,5.3
Bo Melton,WR,7,0.21,1.47,53,0,7.57,3.43,28.60%,57.10%,57.10%,GNB,16,0,4,3.3
MarShawn Lloyd,RB,6,-0.3,-1.81,15,0,2.5,1.5,0%,0%,0%,GNB,1,0,0,15.0
Jermar Jefferson,RB,6,-0.06,-0.38,22,0,3.67,1.17,0%,0%,16.70%,DET,2,0,1,11.0
Sione Vaki,RB,6,-0.53,-3.17,14,0,2.33,1.83,33.30%,0%,0%,DET,15,0,0,0.9
Travis Homer,RB,6,0.02,0.1,23,0,3.83,2.17,0%,0%,33.30%,CHI,10,0,2,2.3
Aaron Shampklin,RB,6,-0.4,-2.41,17,0,2.83,2.0,16.70%,0%,16.70%,PIT,3,0,1,5.7
Rashid Shaheed,WR,6,0.2,1.17,29,0,4.83,1.17,0%,16.70%,33.30%,NOR,6,5,2,4.8
Xavier Legette,WR,6,-0.1,-0.59,24,0,4.0,2.33,0%,0%,33.30%,CAR,15,12,2,1.6
Calvin Ridley,WR,6,-0.16,-0.94,58,1,9.67,1.17,0%,16.70%,50%,TEN,16,13,3,3.6
Brian Thomas,WR,6,0.14,0.82,48,0,8.0,1.67,0%,33.30%,33.30%,JAX,16,15,3,3.0
Michael Burton,FB,6,-0.21,-1.28,5,1,0.83,0.83,16.70%,0%,50%,DEN,16,2,3,0.3
Terrell Jennings,RB,5,-0.25,-1.24,13,0,2.6,2.4,20%,0%,0%,NWE,2,0,0,6.5
Jonathan Ward,RB,5,0.04,0.2,22,0,4.4,3.4,0%,0%,20%,PIT,4,0,1,5.5
Brock Bowers,TE,5,-0.01,-0.03,13,0,2.6,3.6,20%,20%,40%,LVR,16,15,2,0.8
Ashton Dulin,WR,5,0.61,3.05,45,0,9.0,4.2,0%,40%,40%,IND,14,2,2,3.2
Malik Nabers,WR,5,-0.11,-0.56,2,0,0.4,1.4,40%,0%,20%,NYG,14,12,1,0.1
Curtis Samuel,WR,5,-0.38,-1.88,14,0,2.8,1.0,20%,0%,0%,BUF,13,1,0,1.1
Malik Washington,WR,5,0.45,2.27,25,1,5.0,3.6,0%,20%,20%,MIA,13,3,1,1.9
Mecole Hardman,WR,5,1.13,5.66,62,1,12.4,3.6,0%,40%,40%,KAN,12,0,2,5.2
Kyle Juszczyk,FB,5,-1.46,-7.29,26,1,5.2,3.4,20%,20%,20%,SFO,16,14,1,1.6
Blake Watson,RB,4,-0.04,-0.18,10,0,2.5,1.75,25%,0%,50%,DEN,2,0,2,5.0
Christian Watson,WR,4,0.13,0.5,23,0,5.75,1.5,25%,25%,25%,GNB,14,14,1,1.6
Jaxon Smith-Njigba,WR,4,0.13,0.51,22,0,5.5,4.5,0%,0%,25%,SEA,16,15,1,1.4
Devin Duvernay,WR,4,-0.27,-1.07,3,0,0.75,3.75,25%,0%,25%,JAX,12,1,1,0.3
Greg Dortch,WR,4,0.49,1.97,24,0,6.0,1.5,0%,0%,25%,ARI,16,4,1,1.5
Adonai Mitchell,WR,4,-2.2,-8.79,6,0,1.5,1.5,25%,0%,25%,IND,16,7,1,0.4
