Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Jarrett Stidham,DEN,QB,2,0,2,-2,0,0,0.0,-1.0,-1.0
Deven Thompkins,CAR,WR,7,0,2,7,0,0,50.0,3.5,1.0
Kadarius Toney,CLE,WR,3,0,2,-4,0,0,0.0,-2.0,-1.3
Ke'Shawn Vaughn,SFO,RB,3,0,2,4,0,0,0.0,2.0,1.3
Kevin Austin,NOR,WR,7,2,1,9,0,0,100.0,9.0,1.3
Jake Bailey,MIA,P,16,0,1,0,0,0,0.0,0.0,0.0
Kendrick Bourne,NWE,WR,11,8,1,6,0,1,100.0,6.0,0.5
Tyler Boyd,TEN,WR,16,8,1,3,0,1,100.0,3.0,0.2
British Brooks,HOU,RB,5,0,1,2,0,0,0.0,2.0,0.4
Tyler Conklin,NYJ,TE,15,14,1,0,0,0,0.0,0.0,0.0
Ashtyn Davis,NYJ,S,14,0,1,21,0,1,100.0,21.0,1.5
Joshua Dobbs,SFO,QB,1,0,1,7,1,1,100.0,7.0,7.0
Jahan Dotson,PHI,WR,16,5,1,13,0,1,100.0,13.0,0.8
Josh Downs,IND,WR,13,7,1,12,0,0,0.0,12.0,0.9
Chris Godwin,TAM,WR,7,7,1,2,0,1,100.0,2.0,0.3
Matthew Hayball,NOR,P,16,0,1,11,0,1,100.0,11.0,0.7
Jaden Hicks,KAN,DB,16,0,1,1,0,0,0.0,1.0,0.1
Sam Howell,SEA,QB,2,0,1,2,0,0,0.0,2.0,1.0
Tanner Hudson,CIN,TE,10,0,1,1,0,1,100.0,1.0,0.1
Jermaine Jackson,NOR,WR,4,0,1,-1,0,0,0.0,-1.0,-0.3
Jha'Quan Jackson,TEN,WR,12,0,1,-5,0,0,0.0,-5.0,-0.4
Justin Jefferson,MIN,WR,16,16,1,3,0,0,0.0,3.0,0.2
Marcus Jones,NWE,CB,14,9,1,5,0,0,100.0,5.0,0.4
